"Economy","Level","Item","Cost","Action","Gain","BoughtItem"
"Mysteries","1","Whispered Hint","500","combine","200","Cryptic Clue"
"Mysteries","2","Cryptic Clue","500","Trade","70","Appalling Secret"
"Mysteries","3","Appalling Secret","333","Correspond","105","Tale of Terror!!"
"Mysteries","4","Tale of Terror!!","50","fireside","51","Compromising Document"
"Academic","1","Foxfire Candle Stub","1000","substantial","105","Flask of Abominable Salts"
"Academic","2","Flask of Abominable Salts","500","poison","105","Memory of Distant Shores"
"Academic","3","Memory of Distant Shores","50","uncover","51","Brilliant Soul"
"Infernal","1","Soul","500","offer","105","Amanita Sherry"
"Infernal","2","Amanita Sherry","500","poison","105","Brilliant Soul"
"Infernal","3","Brilliant Soul","50","Free","51","Tale of Terror!!"
"Influence","1","Stolen Correspondence","200","Spend","53","Intriguing Snippet"
"Influence","2","Intriguing Snippet","250","write","105","Compromising Document"
"Influence","3","Compromising Document","50","Confront","51","Memory of Light"
"Luminosity","1","Lump of Lamp-lighter Beeswax","1000","Offload","105","Phosphorescent Scarab"
"Luminosity","2","Phosphorescent Scarab","500","Enough","105","Memory of Light"
"Luminosity","3","Memory of Light","50","Swap","51","Zee-Ztory"
"Cartography","1","Shard of Glim","1000","sack","105","Map Scrap"
"Cartography","2","Map Scrap","500","gathering","105","Zee-Ztory"
"Cartography","3","Zee-Ztory","50","lordship","51","Bottle of Strangling Willow Absinthe"
"Wines","1","Bottle of Greyfields 1882","500","harvest","105","Bottle of Morelways 1872"
"Wines","2","Bottle of Morelways 1872","500","trade","105","Bottle of Strangling Willow Absinthe"
"Wines","3","Bottle of Strangling Willow Absinthe","50","supply","51","Whisper-Satin Scrap"
"Rag Trade","1","Silk Scrap","1000","great deal","105","Surface-Silk Scrap"
"Rag Trade","2","Surface-Silk Scrap","500","armful","105","Whisper-Satin Scrap"
"Rag Trade","3","Whisper-Satin Scrap","50","blackmailers","51","Journal of Infamy"
"Wild Words","1","Primordial Shriek","500","loose","105","Maniac's Prayer"
"Wild Words","2","Maniac's Prayer","500","repeat","105","Correspondence Plaque"
"Wild Words","3","Correspondence Plaque","50","surface","51","Vision of the Surface"
"Nostalgia","1","Drop of Prisoner's Honey","500","sponsor","105","Romantic Notion"
"Nostalgia","2","Romantic Notion","500","salon","105","Vision of the Surface"
"Nostalgia","3","Vision of the Surface","50","far-away","51","Mystery of the Elder Continent"
"Elder","1","Jade Fragment","1000","buy","105","Relic of the Third City"
"Elder","2","Relic of the Third City","500","sell","105","Mystery of the Elder Continent"
"Elder","3","Mystery of the Elder Continent","50","speak","51","Scrap of Incendiary Gossip"
"Rumour","1","Proscribed Material","250","study","105","Inkling of Identity"
"Rumour","2","Inkling of Identity","500","forget","105","Scrap of Incendiary Gossip"
"Rumour","3","Scrap of Incendiary Gossip","50","Share","51","Memory of Distant Shores"
